index,radical,pinyin,strokes,standard_or_base_name,name_pinyin,common_lookup_name,common_name_pinyin,French_short,French_name_explanation,Chinese_name_source,printed_page,in_sinogram_forms,source_ids
152,豆,dòu,7,豆,dòu,豆字旁,dòu zì páng,haricot,Nom de la clé : haricot,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
153,酉,yǒu,7,酉,yǒu,酉字旁,yǒu zì páng,jarre à vin,Nom de la clé : jarre à vin,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
154,辰,chén,7,辰,chén,辰字旁,chén zì páng,temps ; astres,Nom de la clé : temps ; astres,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
155,豕,shǐ,7,豕,shǐ,豕字旁,shǐ zì páng,porc,Nom de la clé : porc,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
156,卤,lǔ,7,卤,lǔ,卤字旁,lǔ zì páng,saumure,Nom de la clé : saumure,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
157,里,lǐ,7,里,lǐ,里字旁,lǐ zì páng,village ; intérieur,Nom de la clé : village ; intérieur,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
158,足,zú,7,足,zú,足字旁,zú zì páng,pied,Nom de la clé : pied,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
159,邑,yì,7,邑,yì,右耳旁,yòu ěr páng,ville,Nom de la clé : ville,Unihan/CFDICT,,"[{""form"": ""阝"", ""display_name"": ""右耳旁"", ""display_pinyin"": ""yòu ěr páng"", ""GF0014_name"": ""双耳"", ""French"": ""ville, à droite"", ""printed_page"": 16}]","unicode,cfdict,gf0014"
160,身,shēn,7,身,shēn,身字旁,shēn zì páng,corps,Nom de la clé : corps,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
161,釆,biàn,7,釆,biàn,釆字旁,biàn zì páng,distinguer,Nom de la clé : distinguer,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
162,谷,gǔ,7,谷,gǔ,谷字旁,gǔ zì páng,vallée,Nom de la clé : vallée,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
163,豸,zhì,7,豹字旁,bào zì páng,豸字旁,zhì zì páng,animal sauvage,élément gauche de bào,GF0014-2009,20,[],"unicode,cfdict,gf0014"
164,龟,guī,7,龟,guī,龟字旁,guī zì páng,tortue,Nom de la clé : tortue,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
165,角,jiǎo,7,角,jiǎo,角字旁,jiǎo zì páng,corne,Nom de la clé : corne,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
166,言,yán,7,言,yán,言字旁,yán zì páng,parole,Nom de la clé : parole,Unihan/CFDICT,,"[{""form"": ""讠"", ""display_name"": ""言字旁"", ""display_pinyin"": ""yán zì páng"", ""GF0014_name"": ""言旁"", ""French"": ""parole à gauche"", ""printed_page"": 18}]","unicode,cfdict,gf0014"
167,辛,xīn,7,辛,xīn,辛字旁,xīn zì páng,piquant ; pénible,Nom de la clé : piquant ; pénible,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
168,青,qīng,8,青,qīng,青字旁,qīng zì páng,bleu-vert,Nom de la clé : bleu-vert,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
169,龺,shí zǎo,8,十早,shí zǎo,十早字头,shí zǎo zì tóu,composant shízǎo,Élément formé de dix au-dessus de tôt ; nom descriptif.,Editorial: description graphique,,[],"unicode,cfdict,gf0014"
170,雨,yǔ,8,雨,yǔ,雨字头,yǔ zì tóu,pluie,Nom de la clé : pluie,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
171,非,fēi,8,非,fēi,非字旁,fēi zì páng,faux,Nom de la clé : faux,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
172,齿,chǐ,8,齿,chǐ,齿字旁,chǐ zì páng,dent,Nom de la clé : dent,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
173,黾,mǐn,8,黾,mǐn,黾字旁,mǐn zì páng,grenouille,Nom de la clé : grenouille,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
174,隹,zhuī,8,雏字边,chú zì biān,隹字旁,zhuī zì páng,oiseau à queue courte,élément droit de chú,GF0014-2009,20,[],"unicode,cfdict,gf0014"
175,阜,fù,8,阜,fù,左耳旁,zuǒ ěr páng,butte,Nom de la clé : butte,Unihan/CFDICT,,"[{""form"": ""阝"", ""display_name"": ""左耳旁"", ""display_pinyin"": ""zuǒ ěr páng"", ""GF0014_name"": ""双耳"", ""French"": ""butte, à gauche"", ""printed_page"": 16}]","unicode,cfdict,gf0014"
176,金,jīn,8,金,jīn,金字旁,jīn zì páng,métal,Nom de la clé : métal,Unihan/CFDICT,,"[{""form"": ""钅"", ""display_name"": ""金字旁"", ""display_pinyin"": ""jīn zì páng"", ""GF0014_name"": ""金旁"", ""French"": ""métal à gauche"", ""printed_page"": 11}]","unicode,cfdict,gf0014"
177,鱼,yú,8,鱼,yú,鱼字旁,yú zì páng,poisson,Nom de la clé : poisson,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
178,隶,lì,8,隶,lì,隶字旁,lì zì páng,esclave,Nom de la clé : esclave,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
179,革,gé,9,革,gé,革字旁,gé zì páng,cuir,Nom de la clé : cuir,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
180,面,miàn,9,面,miàn,面字旁,miàn zì páng,visage,Nom de la clé : visage,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
181,韭,jiǔ,9,韭,jiǔ,韭字旁,jiǔ zì páng,ciboulette chinoise,Nom de la clé : ciboulette chinoise,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
182,骨,gǔ,9,骨,gǔ,骨字旁,gǔ zì páng,os,Nom de la clé : os,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
183,香,xiāng,9,香,xiāng,香字旁,xiāng zì páng,parfum,Nom de la clé : parfum,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
184,鬼,guǐ,9,鬼,guǐ,鬼字旁,guǐ zì páng,fantôme,Nom de la clé : fantôme,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
185,食,shí,9,食,shí,食字旁,shí zì páng,nourriture,Nom de la clé : nourriture,Unihan/CFDICT,,"[{""form"": ""饣"", ""display_name"": ""食字旁"", ""display_pinyin"": ""shí zì páng"", ""GF0014_name"": ""食旁"", ""French"": ""nourriture à gauche"", ""printed_page"": 15}]","unicode,cfdict,gf0014"
186,音,yīn,9,音,yīn,音字旁,yīn zì páng,son,Nom de la clé : son,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
187,首,shǒu,9,首,shǒu,首字旁,shǒu zì páng,tête,Nom de la clé : tête,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
188,髟,biāo,10,髟,biāo,髟字头,biāo zì tóu,cheveux longs,Nom de la clé : cheveux longs,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
189,鬲,lì,10,鬲,lì,鬲字旁,lì zì páng,chaudron tripode,Nom de la clé : chaudron tripode,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
190,鬥,dòu,10,鬥,dòu,鬥字框,dòu zì kuàng,combat,Nom de la clé : combat,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
191,高,gāo,10,高,gāo,高字旁,gāo zì páng,haut,Nom de la clé : haut,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
192,黄,huáng,11,黄,huáng,黄字旁,huáng zì páng,jaune,Nom de la clé : jaune,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
193,麻,má,11,麻,má,麻字旁,má zì páng,chanvre,Nom de la clé : chanvre,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
194,鹿,lù,11,鹿,lù,鹿字旁,lù zì páng,cerf,Nom de la clé : cerf,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
195,鼎,dǐng,12,鼎,dǐng,鼎字旁,dǐng zì páng,tripode,Nom de la clé : tripode,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
196,黑,hēi,12,黑,hēi,黑字旁,hēi zì páng,noir,Nom de la clé : noir,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
197,黍,shǔ,12,黍,shǔ,黍字旁,shǔ zì páng,millet,Nom de la clé : millet,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
198,鼓,gǔ,13,鼓,gǔ,鼓字旁,gǔ zì páng,tambour,Nom de la clé : tambour,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
199,鼠,shǔ,13,鼠,shǔ,鼠字旁,shǔ zì páng,rat,Nom de la clé : rat,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
200,鼻,bí,14,鼻,bí,鼻字旁,bí zì páng,nez,Nom de la clé : nez,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
201,龠,yuè,17,龠,yuè,龠字旁,yuè zì páng,flûte,Nom de la clé : flûte,Unihan/CFDICT,,[],"unicode,cfdict,gf0014"
